ACCE_ABSORB_COST	تكاليف الدمج: %d
MINI_GAME_NOTICE_12	لقد حصلت على يوت أو مو ويمكنك الرمي من جديد.
MINI_GAME_NOTICE_13	لقد إنتهت اللعبة أحصل على مكافئتك.
MINI_GAME_RUMI_DISCARD_QUESTION	هل تريد حقّا حذف هذه الورقة؟
MINI_GAME_RUMI_EXIT_QUESTION	هل ترغب في إنهاء جولتك والحصول على جائزتك؟\nسيتم بذلك تصفير نقاطك وما إلغاء ما تبقى من ورقك!
MINI_GAME_RUMI_START_QUESTION	عليك للمشاركة في اللعب دفع رسوم بقيمة %d يانغ. كما أنك ستحتاج لـ %d طقم/طقوم ورق.\nهل تريد بدأ اللعب؟
MINI_GAME_YUTNORI_COM_WIN	مرّة ينهزم فيها المرء ومرّة يفوز الآخرون.
MINI_GAME_YUTNORI_PC_WIN	وإلى المنتصر تذهب الغنائم.
MINI_GAME_YUTNORI_PC_WIN_SCORE	النتيجة: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	رمي
MINI_GAME_YUTNORI_RETHROW_POPUP	محظوظ! إنه دورك مجددا.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	لتبدأ يوتنوري، تحتاج إلى %d يانغ وإلى %d لوحة لعب يوتنوري. \n العب الآن؟
MINUTE	د
MISTS_ISLAND_BUFF_MSG_01	طاقة +2
MISTS_ISLAND_BUFF_MSG_02	معدل إسقاط البنود +10%
MISTS_ISLAND_BUFF_MSG_03	قوة، ذكاء، حيوية، مناورة +3
MISTS_ISLAND_BUFF_MSG_04	معدل إسقاط اليانغ +10%
MISTS_ISLAND_BUFF_MSG_05	زيادة علاوات الأزياء بنسبة 3%
MISTS_ISLAND_INFO_01	مستواك ما زال ضعيفًا.
MISTS_ISLAND_INFO_02	ليس لديك يانغ كافٍ.
MISTS_ISLAND_INFO_03	لا توجد معركة حالية.
MISTS_ISLAND_MSG_01	لقد تم تدمير %s بواسطة %s!
MISTS_ISLAND_MSG_02	قام %s بغزو %s!
MISTS_ISLAND_MSG_03	لقد قام %s بإحتلال %s!
MISTS_ISLAND_MSG_04	لقد حصل %s على %s!
MISTS_ISLAND_MSG_05	لقد قام %s بتطوير %s إلى المستوى %d بنجاح!
MISTS_ISLAND_MSG_06	لقد ظهر %s في ساحة المعركة!
MISTS_ISLAND_QUESTION_01	هل تريد أن تغادر معركة الأضرحة الخمسة؟
MISTS_ISLAND_QUESTION_02	هل ترغب بالإنتقال فورا إلى الضريح الذي تعرض للهجوم مؤخرًا؟ \n السعر: %s يانغ
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	إحتلال الإمبراطورية: %s
MISTS_ISLAND_TOOLTIP_03	مستوى التحسين: +%d
MISTS_ISLAND_TOOLTIP_04	علاوة الإحتلال: %s
MISTS_ISLAND_TOOLTIP_05	غزو الأضرحة
MISTS_ISLAND_TOOLTIP_06	1. للسيطرة على ضريح، يجب أولا أن يتم تدميره.
MISTS_ISLAND_TOOLTIP_07	2. المملكة التي لديها أكبر عدد من المقاتلين في مكان قريب بعد دقيقة واحدة، ستحتل الضريح.
MISTS_ISLAND_TOOLTIP_08	3. بعد 3 دقائق، يظهر الضريح بلون الإمبراطورية التي قامت بغزوه.
MISTS_ISLAND_TOOLTIP_09	4. كلما زادت مدة سيطرت الإمبراطورية نفسها على الضريح، كلما كان من الصعب على الضريح تدمير نفسه.
MONETARY_UNIT0	يانغ
MONETARY_UNIT1	عشرة ألف
MONETARY_UNIT2	مئة مليون
MONEY_INPUT_DIALOG_SELLPRICE	سعر البيع:
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	لا يمكنك القيام بهذا من فوق دابة.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	يمكنك زيادة مستوى حصانك بمجرد وصولك إلى مستوى البطل.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	تحتاج إلى %d علف الحصان و %d يانغ.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	هل تريد محاولة رفع مستوى حصانك إلى %d؟
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	لرفع مستوى الحصان الخاص بك تحتاج إلى %d علف الحصان، %d غايا و %d يانغ.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	ليس لديك ما يكفي من الغايا.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	فشل في رفع مستوى الحصان
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	تم رفع مستوى الحصان إلى %d.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	ليس لديك ما يكفي من علف الحصان أو اليانغ.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	المستوى التالي: %d (الأقصى %d)
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	إلغاء
MOVE_CHANNEL_NOTICE	أنت متصلًا بالقناة %d.
MOVE_CHANNEL_NOT_MOVE	لا يمكنك تغيير قناتك.
MOVE_CHANNEL_SELECT	موافق
MOVE_CHANNEL_TITLE	اختيار القناة
MOVE_ITEM_FAILURE_PRIVATE_SHOP	لا يمكنك تغيير مكان أي شيء، طالما أنك تملك متجراً شخصياً.
MUSIC_EMPTY_MUSIC_LIST	بدون موسيقى مرافقة.
MUSIC_METIN2_DEFAULT_THEMA	موسيقى Metin2
MUSIC_NOT_SELECT_MUSIC	لم يتم اختيار ملف موسيقي.
NEEFD_REST	عليك أولاً الاستراحة.
NOT_YET_SUPPORT	لا يتم دعمه.
NPC_LOCATION_HELPER_ATLAS_DONT_SHOW_MAP	هذه الخريطة غير مُتاحة.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_1	لا يمكنك رؤية الخريطة بأكملها.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_2	أكملها أولا: %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CAN_ONLY_WARP_FROM_SAME_MAP	لا يمكنك الانتقال مباشرةً إلى شخصية ما (وليس لاعبًا) إلا إذا كنت على نفس الخريطة.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CONQUEROR_LEVEL_LIMIT	الخريطة المحددة غير متاحة لمستواك الحالي.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME	يمكنك الانتقال فوريًا مرة أخرى خلال %d دقيقة.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME_LESS_THAN_1M	يمكنك الانتقال فوريا مرة أخرى في أقل من دقيقة واحدة.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DEAD	لا يمكنك الانتقال الفوري وأنت ميت.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DIFFERENT_EMPIRE	لا يمكنك الانتقال فوريًا إلى شخصية موجودة في امبراطورية اخرى.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOLD	ليس لديك مايكفي من %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOTO_OR_WARP	لا يمكنك الانتقال فوريًا إلى هذه الشخصية.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_INSTANCE_DUNGEON	لا يمكنك النقل الفوري إلى برج محصن.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_ITEM	ليس لديك مايكفي من %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_LEVEL_LIMIT	الخريطة المحددة غير متاحة لمستواك الحالي.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_MOUNT	لا يمكنك الانتقال الفوري اثناء الركوب.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_NEW_WORLD	يجب أن تكون في مستوى البطل 1 لتتمكن من النقل فوريًا.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_PLAYER_IN_INSTANCE_DUNGEON	لا يمكنك الانتقال الفوري من مكان وجودك.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_STONE_OF_WARP	ليس لديك ما يكفي من أحجار النقل الفوري.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_WINDOW_OPENED	لا يمكنك النقل فوريًا أثناء فتح قوائم أخرى.
NPC_LOCATION_HELPER_MAP_LOCKED	غير مُتاح
NPC_LOCATION_HELPER_MESSAGE_ALREADY_OPENED_MAP	لقد فتحت هذه الخريطة بالفعل.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_DISABLED	يجب أن يكون مكتشف الشخصيات لديك مفعلاً.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_HERE	لا يمكن استخدام مكتشف الشخصيات هنا.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_TO_SMALL_ATLAS	لا يمكن تبديل الخريطة في هذه المنطقة.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_MAP_DISABLED	يجب أن يكون مكتشف الشخصيات لديك مفعلاً.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_STONE_OF_WARP_DISABLED	يجب أن يكون مكتشف الشخصيات لديك مفعلاً.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_WARP_TO_NPC_NOW	لا يمكنك نقل نفسك الآن.
NPC_LOCATION_HELPER_MESSAGE_GUILD_LAND_UPDATE_COOLTIME	الرجاء المحاولة مجددًا.
NPC_LOCATION_HELPER_MESSAGE_MAP_NOT_PROVIDED	لا توجد خريطة متاحة هنا.
NPC_LOCATION_HELPER_MESSAGE_MAP_UNLOCKED	%s اكتملت. الآن يمكنك استخدام جميع وظائف %s.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_ALREADY_SEARCHED	لقد تم عرض منطقة هذا الوحش لك بالفعل.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_CANNOT_SHOW_OTHER_MAP	لا يمكنك عرض المنطقة المحددة للوحش الذي يظهر فقط على خريطة أخرى.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_AVAILABLE	منطقة الوحش المحدد غير معروفة.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_ENOUGH_ITEM	ليس لديك البند المطلوب لمعرفة مكان وجود هذا الوحش.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_SELECTED	حدد الوحش الذي ترغب في معرفة مكان وجوده.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_SUCCESS	المنطقة التي يتواجد فيها %s موضحة على الخريطة.
NPC_LOCATION_HELPER_MESSAGE_NOT_ENOUGH_STONE_OF_WARP	ليس لديك ما يكفي من أحجار النقل الفوري.
NPC_LOCATION_HELPER_MESSAGE_SELECTED_NPC_IS_NEAR	الشخصية المختارة قريبة.
NPC_LOCATION_HELPER_MESSAGE_SHOULD_SELECT_CATEGORY	حدد المنطقة.
NPC_LOCATION_HELPER_MESSAGE_TICKET_ALREADY_USED	لا يمكنك استعمال هذا الشيء بعد الآن.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_ALCHEMY_DS	كيمياء حجر التنين
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_COMBINE	مزج
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_CUBE	صناعة
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_DUNGEON	مدخل البرج المحصن
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	تجار العتاد
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	احتفالية
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	ادوات صيد
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	غايا
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	مواد استهلاكية
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	أرض الرابطة
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	المعلم
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	بريد
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	التعدين
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	دواب
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	شخصيات أخرى
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	بوّابة
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	تحسين
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	انتقال
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	أمين المستودع
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	هل تريد تفعيل مكتشف الشخصيات؟
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	أو
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d يانغ
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	هل تريد استخدام %d حجر النقل/حجر النقل+ للانتقال فوريًا إلى %s؟
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	المطلوب للنقل الفوري:
OKEY_EVENT_MESSAGE_CARD_GAIN	حصلت على مجموعة (مجموعات) بطاقة Okey.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	حصلت على بطاقات Okey.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	لا يمكنك لعب Okey عندما يكون لديك نافذة أخرى مفتوحة.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	يجب أن يكون مستواك 70 على الأقل للمشاركة.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	ليس لديك ما يكفي من البنود أو المال للعب.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	لا يمكنك استلام المزيد من مجموعات Okey.
OPEN_THE_SPECIAL_ACTION_KIT	تم إضافة %s إلى العاطفة.
OPTION_ESCAPE_BUTTON_COOLTIME	الرجاء إعادة المحاولة لاحقًا.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	لا يمكنك تحرير نفسك الآن. الرجاء إعادة المحاولة لاحقًا.
OPTION_ESCAPE_FAR_DISTANCE	لا يمكنك تحرير نفسك لأنك تحركت أكثر من 10 أمتار.
OPTION_ESCAPE_QUESTION_ANSWER_NO	أنت لم تحرر نفسك.
OPTION_ESCAPE_QUESTION_MESSAGE	سيتم نقلك إما إلى مكان فارغ أو إلى القرية.\n هل تريد تحرير شخصيتك؟
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	استخدم هذا الخيار إذا واجهتك مشكلة.
OPTION_ESCAPE_WAIT_MESSAGE	سيتم إطلاق سراحك في غضون %d ثانية.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	لا يمكنك تفعيل خدمة الرابطة إذا لم تكُن عضواً فيها.
OPTION_PVPMODE_NOT_SUPPORT	لا يمكنك استعمال خيار لاعب ضد لاعب.
OPTION_PVPMODE_PROTECT	يجب أن يصل مستواك %d كأدنى حد لكي تتمكن من تغيير نظام لاعب ضد لاعب.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	هل تريد التوقّف عن القتال؟
OTHER_WORLD_EXCHANGE_COOLTIME	الرجاء إعادة المحاولة لاحقًا.
OTHER_WORLD_EXCHANGE_FAIL	للأسف، لم تحصل على أي شيء في المقابل.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	لا يمكنك استخدام أكثر من الحد الأقصى لعدد البنود.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	استبدال لهب الموت
OTHER_WORLD_GET_DEAD_SOUL	لقد تلقيت %d أرواح الموتى.
OTHER_WORLD_GET_HELL_GATE_KEY	لقد تلقيت %d مفاتيح أزموديوس.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	لقد تلقيت %d رسائل سوداء.
OTHER_WORLD_GET_REINCARNATION_WATER	لقد تلقيت %d ماء الحياة.
OTHER_WORLD_GET_WISP	لقد تلقيت %d لهب الموتى.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	اختر حارس الأرض الذي تريد مواجهته.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	كلما ماتت شخصية، يتم تقليل مؤقت الأبراج المحصنة بمقدار دقيقة واحدة.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	ماء الحياة غير متاح.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	اقتل كل الوحوش في الوقت المحدد.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	إهزم حارس الظلام، دون أن تتعرض للموت.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	إهزم أزموديوس قبل نفاذ الوقت.
PARTY_ANSWER_TIMEOVER	رُفضت الدّعوة.
PARTY_BONUS_ATTACKER	قيمة الهجوم: +%d	SA
PARTY_BONUS_BERSERKER	سرعة الهجوم: +%d	SA
PARTY_BONUS_BUFFER	مدة المهارة: +%d	SA
PARTY_BONUS_DEFENDER	الدفاع +%d%%	SA
PARTY_BONUS_EXP	نقاط إضافية في الخبرة: %d%%	SA
PARTY_BONUS_SKILL_MASTER	إستعادة نقاط الحياة عند القتل +%d%%	SA
PARTY_BONUS_TANKER	نقاط حياة قصوى:+%d	SA
PARTY_BREAK_UP	حذف المجموعة
PARTY_DO_YOU_ACCEPT	 يرغب في الانضمام إلى المجموعة.
PARTY_DO_YOU_JOIN	 دعاك إلى المجموعة. هل تريد قبول الدعوة؟
PARTY_EXP_DISTRIBUTION_MODE	تقسيم نقاط الخبرة
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	حسب المستوى
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	سيحصل أعضاء المجموعة ذوي المستويات المرتفعة على نقاط خبرة إضافية.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	مُتساو
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	ينال جميع أعضاء المجموعة نقاط الأسلوب بالتساوي.
PARTY_HEAL_ALL_MEMBER	استرجاع الوضع الأولي للجميع
PARTY_INCREASE_AREA_150	ارتفاع مدى المجموعة بعامل 1,5.	SNA
PARTY_INCREASE_AREA_200	ارتفاع مدى المجموعة بعامل 2	SNA
PARTY_LEAVE	مغادرة المجموعة
PARTY_LONGTIME_BONUS_EXP	علاوة إضافية على نقاط الخبرة لتمديد مدة اللعب الجماعي: +%d%%	SA
PARTY_MATCH_CANCEL	تم إلغاء عملية البحث عن مجموعة ل[%s].
PARTY_MATCH_FAIL_FULL_MEMBER	لا يمكن لمجموعتك إضافة عضو جديد.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	لا يمكنك التسجيل لهذا البرج المحصن.
PARTY_MATCH_FAIL_LEVEL	مستواك ما زال ضعيفًا.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	العضو %s لا تتوفر فيه الشروط اللازمة.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	يرجى إختيار برج محصن أولا.
PARTY_MATCH_FAIL_NOT_LEADER	يمكن فقط لقائد المجموعة التسجيل.
PARTY_MATCH_FAIL_NO_ITEM	ليس لديك ما يكفي من %s.
PARTY_MATCH_SEARCHING	بحث
PARTY_MATCH_START	لقد قمت بتسجيل مجموعتك لهذا البرج المحصن: [%s]!
PARTY_MEMBER_OFFLINE	[غير متصل]
PARTY_RECALL_MEMBER	استدعاء  أعضاء المجموعة.
PARTY_REGEN_BONUS	نقاط حياة إضافية- + تجديد نقاط الأسلوب:+%d%%	SA
PARTY_REQUEST_DENIED	لقد رُفض طلبك.
PARTY_RK_CATEGORY_CZ_CHICKEN	لائحة رُّتب الحارس يو
PARTY_RK_CATEGORY_CZ_COW	لائحة رُّتب الحارس تشاو
PARTY_RK_CATEGORY_CZ_DOG	لائحة رُّتب الحارس زو
PARTY_RK_CATEGORY_CZ_DRAGON	لائحة رُّتب الحارس تشن
PARTY_RK_CATEGORY_CZ_HORSE	لائحة رُّتب الحارس وو
PARTY_RK_CATEGORY_CZ_MONKEY	لائحة رُّتب الحارس شين
PARTY_RK_CATEGORY_CZ_MOUSE	لائحة رُّتب الحارس تسي
PARTY_RK_CATEGORY_CZ_PIG	لائحة رُّتب الحارس هاي
PARTY_RK_CATEGORY_CZ_RABBIT	لائحة رُّتب الحارس ماو
PARTY_RK_CATEGORY_CZ_SHEEP	لائحة رُّتب الحارس وي
PARTY_RK_CATEGORY_CZ_SNAKE	لائحة رُّتب الحارس سي
PARTY_RK_CATEGORY_CZ_TIGER	لائحة رُّتب الحارس يين
PARTY_SET_ATTACKER	وظِّفهُ كمهاجم.
PARTY_SET_BERSERKER	تعيينه كهائج.
PARTY_SET_BUFFER	وظِّفه كمُتصدِّي.
PARTY_SET_DEFENDER	وظفه كمدافع.
PARTY_SET_NORMAL	إلغاء التعديل.
PARTY_SET_SKILL_MASTER	تعينه بصفته سيد المهارات.
PARTY_SET_TANKER	تعيين كمحارب في القتال عن قرب.
PARTY_SKILL_ATTACKER	قيمة الهجوم الأساسية مهاجم +%.0f
PARTY_SKILL_BERSERKER	سرعة هجوم الهائج +%.0f
PARTY_SKILL_BUFFER	مدة مهارة المتصدي +%.0f
PARTY_SKILL_DEFENDER	الدفاع كمُدافع +%.0f%%
PARTY_SKILL_HP_REGEN	تجديد نقاط الحياة +%.0f%%
PARTY_SKILL_PARTY_AREA	مدى المجموعة +%d%%
PARTY_SKILL_SKILL_MASTER	استعادة نقاط الحياة سيد المهارة+: %.0f%%
PARTY_SKILL_SP_REGEN	تجديد نقاط الأسلوب +%.0f%%
PARTY_SKILL_TANKER	نقاط الحياة القصوى للمقاتل عن قرب +%.0f.
PARTY_SKILL_WARP	بإمكانه نداء أعضاء المجموعة.
PASSIVE_ATTR_ADD_FAIL	فشل! لم يتم نقل العلاوات إلى أثر الروح.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	لا يمكن لأثر الروح هذا استيعاب المزيد من العلاوات.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	تحتاج إلى أثر روح لطبقتك.
PASSIVE_ATTR_ADD_SUCCESS	نجاح! لقد تم نقل العلاوات إلى أثر الروح.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	أثر الروح مشحون بالفعل.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	لا يوجد أثر روح ليتم شحنه.
PASSIVE_ATTR_CHARGE_QUESTION	هل تريد إعادة شحن أثر الروح؟
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	لقد تم غعادة شحن وقت أثر الروح بالكامل.
PASSIVE_ATTR_CONTROL_FAIL_MSG	لا يمكنك القيام بهذا أثناء التفعيل.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	الرجاء إعادة المحاولة لاحقًا.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	أنت بحاجة إلى روح مناسبة لهذا.
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	تحتاج إلى أثر روح لطبقتك.
PASSIVE_JOB_DESTROY_POPUP	إذا قمت برمي أثر الروح، فسيتم تدميره. هل أنت متأكد؟
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	بمجرد التفعيل، لا يمكنك نقل الأثر.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	سيتم فقدان البنود. هل أنت متأكد؟
PASSIVE_JOB_LEFT_TIME	الوقت المتبقي: %s
PASSIVE_JOB_MAX_TIME	الحد الأقصى للوقت المتبقي: %s
PASSWORD_TITLE	كلمة سر المستودع
PET_ATTR_CHANGE_DIALOG_TEXT	هل تود تغيير سمات رفيقك الآن؟\n سيتم استهلاك بند "سحر الرفيق".\n يمكن للعملية أن تفشل.
PET_ATTR_CHANGE_USE	لا يمكن تنفيذ هذا الأمر اثناء عملية تحويل سمات الرفيق.
PET_ATTR_DETERMINE_TYPE1	النوع 1: أخرق ليس قويا جدا.\nلكن مع مرور الوقت يمكنك زيادة مهاراته.
PET_ATTR_DETERMINE_TYPE2	النوع 2: فضولي. ليس قويا جدا.\nرفيق وفي تزداد مهاراته مع مرور الوقت.
PET_ATTR_DETERMINE_TYPE3	النوع 3: شجاع. قوي الى حد ما.\nمع مرور الوقت يمكنك زيادة مهاراته.
PET_ATTR_DETERMINE_TYPE4	النوع 4: شجاع. قوي الى حد ما.\nرفيق وفي تزداد مهاراته مع مرور الوقت.
PET_ATTR_DETERMINE_TYPE5	النوع 5: متهور. قوي.\nلكن مع مرور الوقت يمكنك زيادة مهاراته.
PET_ATTR_DETERMINE_TYPE6	النوع 6: أسطوري. قوي.\nرفيق وفي تزداد مهاراته مع مرور الوقت.
PET_ATTR_DETERMINE_TYPE7	النوع 7: خرافي. قوي جدا.\nسيظهر قواه الحقيقة مع مرور الوقت.
PET_ATTR_DETERMINE_TYPE8	النوع 8: براق. قوي للغاية.\nرفيق وفي يمكنك الإعتماد عليه دائما.
PET_BAG_DESC	%s
PET_CANNOT_FEED_CUBEOPEN	لا يمكنك إطعام الرفيق أثناء فتح نافذة الصقل.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	لا يمكنك تحويل سمات رفيق ميت.
PET_CAN_NOT_EGG_ITEM_USE	لا يمكنك فتح قفص النقل أثناء المتاجرة، أو عندما يكون مخزنك أو متجرك مفتوحان.
PET_CAN_NOT_FEED_SPLIT_ITEM	لا يمكنك وضع أي شيء مقسوم في هذه النافذة.
PET_CAN_NOT_FEED_TYPE	لا يُمكنك إطعام رفيقك بهذه الطريقة. يرجى المحاولة من خلال استخدام عملية أخرى.
PET_CAN_NOT_OPEN_EVOL_BUTTON	لتدريب الرفيق وتطويره إلى المستوى التالي يجب أن يكون مستواه %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	لتدريب الرفيق وتطويره إلى المستوى التالي يجب أن تكون نسبة خبرته 100%.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	لقد وصل مستوى رفيقك أعلى مستوى مُمكن.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	لا يمكنك فتح متجر خاص إذا قُمت بتحضير رفيقك.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	لتدريب الرفيق وتطويره إلى المستوى التالي يجب أن يكون عُمره %d يومًا.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	لا يمكنك تحضير رفيقك، لأن مدة استعماله انتهت.
PET_CAN_NOT_USE_BAG	لا يمكنك استعمال قفص النقل لأن مدة استعمال رفيقك انتهت.
PET_EMPTY_SKILL_SLOT_USE_ITEM	لا يمتلك هذا الرفيق أي مهارات ليتم إعادة تعيينها.
PET_HATCHING_ACCEPT	هل ترغب في تسمية رفيقك "%s"؟
PET_HATCHING_MONEY	الثمن: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	لا يمكنك التفاعل مع أي كان طالما أن قفص النقل مفتوح.
PET_INFORMATION_STAGE1	بري
